Station lat long elev state town a b c d e f
USH00305426  41.7681  -74.1550  379.5 NY MOHONK LAKE                    ------ ------ ------ +5
USH00305512  42.8417  -75.7264  396.2 NY MORRISVILLE 6 SW               ------ ------ ------ +5
USH00306085  42.5117  -75.5197  301.4 NY NORWICH                        ------ ------ ------ +5
USH00306164  44.7281  -75.4442   85.3 NY OGDENSBURG 4 NE                ------ ------ ------ +5
USH00306314  43.4622  -76.4933  106.7 NY OSWEGO EAST                    ------ ------ ------ +5
USH00306774  41.3800  -74.6847  143.3 NY PORT JERVIS                    ------ ------ ------ +5
USH00307484  43.0331  -73.8167   94.5 NY SARATOGA SPRINGS 4 SW          303452 ------ ------ +5
USH00307633  40.9586  -73.1047   12.2 NY SETAUKET STRONG                ------ ------ ------ +5
USH00308248  42.6925  -73.8325  515.1 NY STILLWATER RSVR                ------ ------ ------ +5
USH00308600  42.7500  -73.6831    7.3 NY TROY L&D                       307513 ------ ------ +5
USH00308631  44.2308  -74.4383  512.1 NY TUPPER LAKE SUNMOUNT           ------ ------ ------ +5
USH00308910  42.7411  -78.5100  332.2 NY WALES                          308058 ------ ------ +5
USH00309000  43.9761  -75.8753  151.5 NY WATERTOWN                      ------ ------ ------ +5
USH00309292  41.3906  -73.9608   97.5 NY WEST POINT                     ------ ------ ------ +5
USH00309670  41.2664  -73.7975  204.2 NY YORKTOWN HEIGHTS 1 W           301207 ------ ------ +5
USH00361354  39.9353  -77.6394  195.1 PA CHAMBERSBURG 1 ESE             ------ ------ ------ +5
USH00363028  41.4003  -79.8303  309.4 PA FRANKLIN                       ------ ------ ------ +5
USH00364896  40.3333  -76.4667  137.2 PA LEBANON 2 W                    363699 ------ ------ +5
USH00366233  41.0172  -80.3619  251.5 PA NEW CASTLE 1 N                 ------ ------ ------ +5
USH00367029  41.7394  -75.4464  548.6 PA PLEASANT MT 1 W                363056 ------ ------ +5
USH00367477  41.4200  -78.7497  414.5 PA RIDGWAY                        ------ ------ ------ +5
USH00367931  40.7831  -76.8611  128.0 PA SELINSGROVE 2 S                368668 ------ ------ +5
USH00368449  40.7933  -77.8672  356.6 PA STATE COLLEGE                  ------ ------ ------ +5
USH00368596  41.0125  -75.1906  140.2 PA STROUDSBURG                    ------ ------ ------ +5
USH00368905  41.7511  -76.4431  231.6 PA TOWANDA 1 S                    ------ ------ ------ +5
USH00369050  39.9150  -79.7192  291.4 PA UNIONTOWN 1 NE                 ------ ------ ------ +5
USH00369298  41.8500  -79.1500  368.8 PA WARREN                         ------ ------ ------ +5
USH00369408  41.7003  -77.3894  554.1 PA WELLSBORO 4 SW                 369407 ------ ------ +5
USH00369464  39.9708  -75.6350  114.3 PA WEST CHESTER 2 NW              ------ ------ ------ +5
USH00369933  39.9167  -76.7500  118.9 PA YORK 3 SSW PUMP                ------ ------ ------ +5
USH00374266  41.4906  -71.5414   34.7 RI KINGSTON                       ------ ------ ------ +5
USH00431580  43.9572  -73.2106  105.2 VT CORNWALL                       ------ ------ ------ +5
USH00432769  44.9094  -72.8083  128.0 VT ENOSBURG FALLS                 ------ ------ ------ +5
USH00437054  44.4200  -72.0194  213.4 VT SAINT JOHNSBURY                ------ ------ ------ +5
USH00437607  44.6264  -73.3031   33.5 VT SOUTH HERO                     306659 ------ ------ +5
USH00437612  44.0725  -72.9736  408.7 VT SOUTH LINCOLN                  435733 435740 ------ +5
USH00461220  38.9800  -80.2206  443.5 WV BUCKHANNON                     ------ ------ ------ +5
USH00463544  38.9339  -80.8325  216.4 WV GLENVILLE                      ------ ------ ------ +5
USH00465224  37.8564  -80.4042  701.0 WV LEWISBURG 3 N                  ------ ------ ------ +5
USH00465626  39.5436  -80.4647  335.3 WV MANNINGTON 8 WNW               465621 ------ ------ +5
USH00466867  39.1031  -79.6658  556.6 WV PARSONS 1 NE                   ------ ------ ------ +5
USH00467029  37.5744  -81.5356  390.1 WV PINEVILLE                      463353 ------ ------ +5
USH00468384  38.8008  -81.3619  287.4 WV SPENCER                        ------ ------ ------ +5
USH00469610  37.6731  -82.2761  231.6 WV WILLIAMSON                     469605 ------ ------ +5
USH00469683  38.5278  -81.9153  186.2 WV WINFIELD LOCKS                 ------ ------ ------ +5
