"State","Year","WetDollars","WetAcres","n","DryDollars","DryAcres","n"
"ME",2002,8494,9.3,2,1040442,4647.95,19
"ME",2003,2896314,6600.38,21,198353,568.98,5
"ME",2004,8288684,9621.89,17,0,0,
"ME",2005,5490367.9,10198,46,750338.7,2663,9
"ME",2006,2001352,6015,41,7128,15,
"ME",2007,533758.31,1129,11,259713.71,884,8
"ME",2008,4041738,12384,18,5101,68,2
"ME",2009,2673829.78,15340,36,235331.34,832,2
"ME",2010,83856.5,299,3,728960.9,5951,9
"ME",2011,9330800.9,25705,33,2161.39,7,
"ME",2012,753071.38,2458,29,1538744.92,5742,19
"ME",2013,11402140.8,26276.1996,37,1026,19.26,
"ME",2014,1561555,4883.235,24,174460.7,2107.775,6
"ME",2015,7632982.74,10764.818,17,11369.69,151.88,3
"ME",2016,3059226.04,5900.897,11,748829.22,1933.716,19
"ME",2017,635625.99,1731.652,19,1009744.16,5375.245,18
"ME",2018,34662.4,95.08,5,909528.04,8616.849,18
"NH",2001,2357,30.7,2,47300,1206.9,8
"NH",2002,11553,174.78,8,96813,2295.55,15
"NH",2003,12150,129.7,7,5886,38.1,
"NH",2004,13987,235.2,5,0,0,
"NH",2005,78795.8,249,12,1454,29,
"NH",2006,178927.5,959,18,0,0,
"NH",2007,2542.4,19,,1089.6,8,
"NH",2008,139435.68,322,7,0,0,
"NH",2009,98334,623,9,0,0,
"NH",2010,0,0,0,30111,215,3
"NH",2011,120716,345,11,0,0,
"NH",2012,1409,31,,10979,52,2
"NH",2013,155422,498.98,13,0,0,
"NH",2014,18124.06,59.134,6,835.2,1.536,
"NH",2015,3613.87,27.226,2,0,0,
"NH",2016,218890.16,85.819,3,399987.71,793.288,10
"NH",2017,39024,477.96,8,1004.4,0.68,
"NH",2018,72731,470.91,5,15849.85,87.105,3
"NJ",2001,132048,345.46,14,503288,10307.94,45
"NJ",2002,71900,387.3,5,2729973,51814.06,92
"NJ",2003,1501200,18531.29,115,0,,
"NJ",2004,702825,2300.42,39,2791,65,
"NJ",2005,131435.1,1428,25,896905.07,18808,45
"NJ",2006,198375.9,4223,31,314785.3,7709,33
"NJ",2007,9318,221,4,1720342.17,16711,50
"NJ",2008,38172.5,481,12,2730155.65,24369,73
"NJ",2009,813500.23,9184,86,15783,154,
"NJ",2010,206228.5,2489,21,3641963.46,34225,71
"NJ",2011,1033802.6,6154,61,1010120.52,7788,52
"NJ",2012,277910,2754,22,1819609.44,11444,62
"NJ",2013,2957109.56,19059.377,97,182258.1,626.51,6
"NJ",2014,345738,2507.754,43,701938.21,6813.972,38
"NJ",2015,747267.57,5537.919,68,2977733.91,33437.603,79
"NJ",2016,95124.7,936.518,23,1904609.21,20071.0885,52
"NJ",2017,782255.45,8246.975,55,63384,463.675,7
"NJ",2018,3357594.85,28430.6617,98,856641.94,8522.2178,41
"NY",2001,103792,1446.93,24,5056503,32539.11,158
"NY",2002,6044887,75558.65,287,4230293,47285.86,238
"NY",2003,11979761,88312.01,432,66766,456.3,7
"NY",2004,13428402,117177.34,535,10890,85.3,3
"NY",2005,1898386.89,10784,129,3544709.29,19567,192
"NY",2006,13105239.51,60035,400,112672.36,1113,17
"NY",2007,2861951.58,33668,93,4883554.87,37690,187
"NY",2008,3052034.16,18952,142,-13537.7,322,13
"NY",2009,14336952.89,70379,442,17982,46,3
"NY",2010,6494820.11,33356,234,589029.82,3201,38
"NY",2011,30989925.48,111771,595,2351562.21,14093,134
"NY",2012,2968956.55,19399,125,9741563.36,55577,224
"NY",2013,30061637.6,137505.741,561,58900.3,311.12,9
"NY",2014,28496032.63,132696.53325,667,58172.8,496.825,5
"NY",2015,27896538.64,154174.6336,493,750324.88,5327.745,43
"NY",2016,1259010.8,6117.685,55,29045312.72,216721.344,357
"NY",2017,46744454.7,212172.72,629,196644.9,1343.933,7
"NY",2018,8613753.65,38887.9302,284,2294904.37,12673.5732,98
"PA",2001,129986,1700.12,57,14721696,216408.04,478
"PA",2002,625739,8657.63,155,54954463,613635.76,619
"PA",2003,20514682,221234.13,992,111925,813.8,21
"PA",2004,10553409,98898.31,839,77650,557.83,14
"PA",2005,426305.2,7509,188,11030150.73,136717,531
"PA",2006,6227641.64,53338,563,5463885.5,74329,286
"PA",2007,419618.65,5455,94,21320519.13,174858,538
"PA",2008,7411996.45,23247,306,12737743.42,94242,365
"PA",2009,17094354.62,75758,724,804171.05,8163,79
"PA",2010,1653080.35,12630,225,17790894.63,124050,373
"PA",2011,14673802.54,56446,642,40478017.27,216676,471
"PA",2012,1899176.41,16621,205,11706450.66,80698,368
"PA",2013,7456850.76,56376.739,423,2270705.82,18613.112,132
"PA",2014,13013476.32,101259.067,559,2319872.32,23403.693,122
"PA",2015,14978272.85,131639.9275,501,4475289.64,47256.7184,287
"PA",2016,1668642.83,7402.597,160,28053280.38,235679.2839,424
"PA",2017,7999484.3,76739.4201,596,1592470.98,16050.7828,60
"PA",2018,20011027.82,159069.79725,795,381451.85,4236.06,21
"RI",2001,0,0,,26852,19.2,2
"RI",2002,0,0,,17957,271.8,5
"RI",2003,21007,51.4,5,0,0,
"RI",2004,1765,10.51,,0,0,
"RI",2005,3567.2,7,2,11405.8,38,3
"RI",2006,60659.1,279,6,0,0,
"RI",2007,0,0,,4974.8,18,
"RI",2008,986,3,,0,0,
"RI",2009,47359.9,123,5,0,0,
"RI",2010,702,3,,0,0,
"RI",2011,17596.7,48,4,39821,103,3
"RI",2012,8866.65,7,2,15570.4,41,2
"RI",2013,15934,45,3,0,0,
"RI",2014,0,0,,18251.9,52.58,2
"RI",2015,0,0,,57117.6,60.8,2
"RI",2016,7952.55,8.265,,53563.15,116.51,5
"RI",2017,36197.34,62.25,5,0,0,
"RI",2018,19823.5,28.1,3,10919,7,2
"VT",2001,10960,649.3,4,95497,2373.95,14
"VT",2002,689895,11097.99,32,771029,11208.92,34
"VT",2003,252629,3553.05,32,3339,133.25,3
"VT",2004,465878,6490.7,35,0,0,
"VT",2005,122401.7,1658,25,16371,393,5
"VT",2006,3503294,41593,69,0,0,
"VT",2007,65029,857,10,47761.74,482,11
"VT",2008,964718.38,7739,26,1824,57,
"VT",2009,2247557,17733,36,0,0,
"VT",2010,207474.3,2381,13,69434.2,537,9
"VT",2011,3375722.1,23513,95,686267.5,3738,7
"VT",2012,35947,557,10,671328.25,5125,13
"VT",2013,7397813.85,34406.69,65,0,0,
"VT",2014,1587730.55,6548.245,44,0,0,
"VT",2015,3168038.84,20228.854,44,68567.25,444.8,5
"VT",2016,0,0,,641253.25,4274.65,18
"VT",2017,3424667.44,22305.896,56,734,20.97,
"VT",2018,81455,69.52,2,1007205.58,6110.087,15
"WV",2001,601156,1011.37,38,95847,1740.58,27
"WV",2002,20408,159.67,11,857197,5844.23,58
"WV",2003,1811673,8658.81,108,0,0,
"WV",2004,1304146,4158.2,66,595,18.09,2
"WV",2005,70719.3,434,11,410161.93,4817,44
"WV",2006,155558.6,430,16,204287.6,2522,38
"WV",2007,28250,46,,1422151.89,10658,56
"WV",2008,257387.17,1792,32,220579.3,1407,23
"WV",2009,382261.22,2829,44,122287.81,499,16
"WV",2010,8568,204,6,2766092,19058,49
"WV",2011,139641.86,1176,17,1288200.57,7241,41
"WV",2012,22150.5,400,10,325553,2280,24
"WV",2013,225518.7,1485.01,22,37213,282.95,6
"WV",2014,34990.5,430.65,14,95047.2,731.3,12
"WV",2015,322287.01,661.296,21,133400.5,1203.689,15
"WV",2016,73443.8,725.51,16,361075.16,2801.588,26
"WV",2017,101042.2,1305.07,19,99856.8,930.91,13
"WV",2018,987555.35,6016.9775,59,29051.2,440.32,2
